feature,importance
f_4137,0.00035526342
f_2342,0.00035513323
f_5019,0.00035501266
f_4415,0.00035419743
f_4111,0.000354184
f_2661,0.00035362813
f_3167,0.00035358005
f_5384,0.00035345324
f_2390,0.00035273566
f_4798,0.0003525697
f_1264,0.00035228903
f_5936,0.00035223452
f_5205,0.00035088774
f_1021,0.0003507845
f_5997,0.00035053937
f_1329,0.00035042193
f_3729,0.00035034918
f_5044,0.00035021183
f_5699,0.0003498845
f_1555,0.0003497871
f_107,0.00034963028
f_1186,0.000349475
f_1040,0.0003493796
f_3718,0.00034852925
f_207,0.00034794206
f_3786,0.00034784625
f_25,0.00034757052
f_1144,0.0003469158
f_861,0.0003468103
f_2070,0.0003464009
f_1736,0.0003459141
f_4845,0.0003457741
f_5326,0.00034539518
f_3352,0.0003450001
f_4648,0.000344896
f_404,0.00034405658
f_4487,0.0003432633
f_208,0.0003426501
f_2724,0.00034241582
f_4152,0.00034225124
f_3312,0.00034183936
f_6084,0.00034145737
f_937,0.00034130336
f_4692,0.0003411088
f_3842,0.00034081974
f_1397,0.00034075778
f_3527,0.00034063702
f_2,0.00034026508
f_394,0.00034001074
f_3704,0.00033991493
f_6133,0.00033982616
f_0,0.00033980352
f_3082,0.00033964042
f_4994,0.0003393475
f_994,0.00033927805
f_2652,0.00033916323
f_1516,0.00033883617
f_1428,0.00033878814
f_5869,0.00033868777
f_3546,0.00033862237
f_5288,0.00033853386
f_4192,0.0003382242
f_913,0.0003380684
f_1195,0.00033761025
f_1930,0.00033738292
f_4729,0.0003371938
f_4984,0.00033702367
f_3682,0.00033660396
f_1751,0.00033647293
f_1385,0.00033643024
f_2783,0.00033618446
f_764,0.00033614022
f_2451,0.00033576955
f_3318,0.0003357379
f_4282,0.00033569895
f_438,0.00033553748
f_1949,0.0003354038
f_2718,0.00033539
f_1168,0.00033525928
f_36,0.00033514661
f_2294,0.00033473564
f_264,0.00033415077
f_3751,0.0003338916
f_4604,0.00033354096
f_5920,0.00033352806
f_3651,0.00033349008
f_1331,0.00033335094
f_1591,0.00033290635
f_2625,0.00033277983
f_3657,0.00033241007
f_1741,0.00033221036
f_4433,0.0003321342
f_4243,0.0003318696
f_1335,0.00033184155
f_3722,0.0003317705
f_4286,0.00033161917
f_5698,0.00033151323
f_370,0.00033143366
f_1598,0.00033126283
f_4963,0.00033112473
f_818,0.00033107356
f_3058,0.0003310018
f_148,0.00033099626
f_3572,0.00033034102
f_1513,0.00032976083
f_4329,0.00032885745
f_3034,0.00032885213
f_5124,0.000328796
f_5687,0.00032787834
f_1416,0.00032751367
f_4557,0.0003269607
f_4665,0.00032658182
f_3561,0.00032654442
f_523,0.0003253119
f_1279,0.0003251383
f_6124,0.0003249048
f_3876,0.00032473588
f_2381,0.00032473347
f_3545,0.0003235718
f_600,0.00032311314
f_4295,0.00032267868
f_3577,0.00032235522
f_4280,0.0003223087
f_329,0.00032219145
f_1341,0.00032166654
f_4393,0.00032164555
f_4677,0.00032160513
f_5653,0.00032152265
f_2604,0.00032114988
f_4315,0.00032083495
f_531,0.00032079054
f_5715,0.0003207525
f_5177,0.0003199114
f_1602,0.00031978782
f_5519,0.00031971573
f_2814,0.00031962528
f_2856,0.00031939457
f_4794,0.00031913808
f_6203,0.00031910624
f_3852,0.00031907638
f_3210,0.00031896762
f_4014,0.00031894032
f_5603,0.00031886675
f_1322,0.00031879672
f_4785,0.0003176045
f_2023,0.00031733493
f_3443,0.00031710524
f_4222,0.0003168494
f_1932,0.00031672828
f_231,0.00031671123
f_558,0.00031594228
f_5658,0.00031494224
f_1635,0.00031444675
f_3933,0.00031406325
f_1529,0.0003140455
f_1947,0.00031364628
f_2091,0.00031359965
f_4206,0.00031345335
f_2357,0.00031324528
f_1963,0.00031318914
f_5800,0.00031296947
f_1193,0.000312839
f_4146,0.00031257223
f_4454,0.00031256225
f_935,0.00031212854
f_5380,0.00031209164
f_4553,0.00031206882
